Unnamed: 0,Date,Open,High,Low,Close,Adj Close,PercentageChange,Difference,Volume,Currency,Month,MonthStr,Volatility,AverageVolatility
0,2020-12-31,28841.57421875,29244.876953125,28201.9921875,29001.720703125,29001.720703125,-0.5521964921127727,-160.146484375,46754964848,BTC,12,December,-160.146484375,71.46442850554983
335,2021-12-01,56907.96484375,59041.68359375,56553.08203125,57229.828125,57229.828125,-0.5624047665266337,-321.86328125,36858195307,BTC,12,December,-321.86328125,71.46442850554983
336,2021-12-02,57217.37109375,57349.234375,55895.1328125,56477.81640625,56477.81640625,1.3094604829979912,739.5546875,32379968686,BTC,12,December,739.5546875,71.46442850554983
337,2021-12-03,56509.1640625,57482.16796875,52496.5859375,53598.24609375,53598.24609375,5.430994819603691,2910.91796875,39789134215,BTC,12,December,2910.91796875,71.46442850554983
338,2021-12-04,53727.87890625,53904.6796875,42874.6171875,49200.703125,49200.703125,9.201445291845104,4527.17578125,61385677469,BTC,12,December,4527.17578125,71.46442850554983
339,2021-12-05,49201.51953125,49768.1484375,47857.49609375,49368.84765625,49368.84765625,-0.3389346378207727,-167.328125,37198201161,BTC,12,December,-167.328125,71.46442850554983
340,2021-12-06,49413.48046875,50929.51953125,47281.03515625,50582.625,50582.625,-2.311355986863078,-1169.14453125,37707308001,BTC,12,December,-1169.14453125,71.46442850554983
341,2021-12-07,50581.828125,51934.78125,50175.80859375,50700.0859375,50700.0859375,-0.2332497279112723,-118.2578125,33676814852,BTC,12,December,-118.2578125,71.46442850554983
342,2021-12-08,50667.6484375,51171.375,48765.98828125,50504.796875,50504.796875,0.3224477130421089,162.8515625,28479699446,BTC,12,December,162.8515625,71.46442850554983
343,2021-12-09,50450.08203125,50797.1640625,47358.3515625,47672.12109375,47672.12109375,5.827223278018148,2777.9609375,29603577251,BTC,12,December,2777.9609375,71.46442850554983
344,2021-12-10,47642.14453125,50015.25390625,47023.69921875,47243.3046875,47243.3046875,0.8442251158935715,398.83984375,30966005122,BTC,12,December,398.83984375,71.46442850554983
345,2021-12-11,47264.6328125,49458.2109375,46942.34765625,49362.5078125,49362.5078125,-4.249936020205112,-2097.875,25775869261,BTC,12,December,-2097.875,71.46442850554983
346,2021-12-12,49354.85546875,50724.8671875,48725.8515625,50098.3359375,50098.3359375,-1.4840422437933396,-743.48046875,21939223599,BTC,12,December,-743.48046875,71.46442850554983
347,2021-12-13,50114.7421875,50205.0,45894.84765625,46737.48046875,46737.48046875,7.2260243489336835,3377.26171875,32166727776,BTC,12,December,3377.26171875,71.46442850554983
348,2021-12-14,46709.82421875,48431.3984375,46424.49609375,46612.6328125,46612.6328125,0.2085087247505496,97.19140625,34638619079,BTC,12,December,97.19140625,71.46442850554983
349,2021-12-15,48379.75390625,49473.95703125,46671.96484375,48896.72265625,48896.72265625,-1.0572666672045776,-516.96875,36541828520,BTC,12,December,-516.96875,71.46442850554983
350,2021-12-16,48900.46484375,49425.57421875,47529.87890625,47665.42578125,47665.42578125,2.5910584920985293,1235.0390625,27268150947,BTC,12,December,1235.0390625,71.46442850554983
351,2021-12-17,47653.73046875,48004.89453125,45618.21484375,46202.14453125,46202.14453125,3.141815065571649,1451.5859375,32902725329,BTC,12,December,1451.5859375,71.46442850554983
352,2021-12-18,46219.25390625,47313.828125,45598.44140625,46848.77734375,46848.77734375,-1.3437350411109148,-629.5234375,26098292690,BTC,12,December,-629.5234375,71.46442850554983
353,2021-12-19,46853.8671875,48089.6640625,46502.953125,46707.015625,46707.015625,0.3144100742360372,146.8515625,25154053861,BTC,12,December,146.8515625,71.46442850554983
354,2021-12-20,46707.0625,47401.71875,45579.80859375,46880.27734375,46880.27734375,-0.3694834023269547,-173.21484375,30961902129,BTC,12,December,-173.21484375,71.46442850554983
355,2021-12-21,46886.078125,49300.91796875,46698.7734375,48936.61328125,48936.61328125,-4.190186076966753,-2050.53515625,27055803928,BTC,12,December,-2050.53515625,71.46442850554983
356,2021-12-22,48937.09765625,49544.796875,48450.94140625,48628.51171875,48628.51171875,0.6345782064743235,308.5859375,24447979559,BTC,12,December,308.5859375,71.46442850554983
357,2021-12-23,48626.34375,51332.33984375,48065.8359375,50784.5390625,50784.5390625,-4.249709364978052,-2158.1953125,28223878108,BTC,12,December,-2158.1953125,71.46442850554983
358,2021-12-24,50806.05078125,51814.02734375,50514.49609375,50822.1953125,50822.1953125,-0.0317666939626064,-16.14453125,24367912228,BTC,12,December,-16.14453125,71.46442850554983
359,2021-12-25,50854.91796875,51176.59765625,50236.70703125,50429.859375,50429.859375,0.8428708686043208,425.05859375,19030650914,BTC,12,December,425.05859375,71.46442850554983
360,2021-12-26,50428.69140625,51196.37890625,49623.10546875,50809.515625,50809.515625,-0.7495135784420303,-380.82421875,20964372926,BTC,12,December,-380.82421875,71.46442850554983
361,2021-12-27,50802.609375,51956.328125,50499.46875,50640.41796875,50640.41796875,0.3202805441892041,162.19140625,24324345758,BTC,12,December,162.19140625,71.46442850554983
362,2021-12-28,50679.859375,50679.859375,47414.2109375,47588.85546875,47588.85546875,6.495226405013582,3091.00390625,33430376883,BTC,12,December,3091.00390625,71.46442850554983
363,2021-12-29,47623.87109375,48119.7421875,46201.49609375,46444.7109375,46444.7109375,2.538847012820856,1179.16015625,30049226299,BTC,12,December,1179.16015625,71.46442850554983
364,2021-12-30,46490.60546875,47879.96484375,46060.3125,47178.125,47178.125,-1.457284559846327,-687.51953125,26686491018,BTC,12,December,-687.51953125,71.46442850554983
365,2021-12-31,47169.37109375,48472.52734375,45819.953125,46306.4453125,46306.4453125,1.863511170910502,862.92578125,36974172400,BTC,12,December,862.92578125,71.46442850554983
0,2020-12-31,751.6266479492188,754.2994384765625,726.5119018554688,737.8034057617188,737.8034057617188,1.8735671426223208,13.8232421875,13926846861,ETH,12,December,13.8232421875,71.46442850554983
335,2021-12-01,4623.6796875,4780.732421875,4530.2724609375,4586.990234375,4586.990234375,0.7998589761549627,36.689453125,27634826695,ETH,12,December,36.689453125,71.46442850554983
336,2021-12-02,4586.3330078125,4628.919921875,4441.5078125,4511.30224609375,4511.30224609375,1.6631730180286124,75.03076171875,21502671027,ETH,12,December,75.03076171875,71.46442850554983
337,2021-12-03,4514.35595703125,4647.2890625,4100.1455078125,4220.7060546875,4220.7060546875,6.957364444217183,293.64990234375,25879591528,ETH,12,December,293.64990234375,71.46442850554983
338,2021-12-04,4227.76220703125,4242.7255859375,3525.494140625,4119.58740234375,4119.58740234375,2.625865022937887,108.1748046875,38478999182,ETH,12,December,108.1748046875,71.46442850554983
339,2021-12-05,4119.62890625,4246.92333984375,4040.217529296875,4198.32275390625,4198.32275390625,-1.8744115750279275,-78.69384765625,25533062707,ETH,12,December,-78.69384765625,71.46442850554983
340,2021-12-06,4199.0,4375.5205078125,3930.806640625,4358.7373046875,4358.7373046875,-3.664760996624282,-159.7373046875,28229518513,ETH,12,December,-159.7373046875,71.46442850554983
341,2021-12-07,4358.5869140625,4428.58935546875,4264.32373046875,4315.0615234375,4315.0615234375,1.008685284985843,43.525390625,22366213354,ETH,12,December,43.525390625,71.46442850554983
342,2021-12-08,4311.67431640625,4453.1123046875,4234.53759765625,4439.35791015625,4439.35791015625,-2.8761725531948827,-127.68359375,18704315119,ETH,12,December,-127.68359375,71.46442850554983
343,2021-12-09,4433.02490234375,4482.31396484375,4078.84423828125,4119.81591796875,4119.81591796875,7.6024994954004095,313.208984375,22296131874,ETH,12,December,313.208984375,71.46442850554983
344,2021-12-10,4113.58837890625,4227.11181640625,3897.767578125,3908.49609375,3908.49609375,5.247345276466032,205.09228515625,28014595631,ETH,12,December,205.09228515625,71.46442850554983
345,2021-12-11,3909.667724609375,4095.6484375,3846.054443359375,4084.452392578125,4084.452392578125,-4.279268092005477,-174.78466796875,19131502454,ETH,12,December,-174.78466796875,71.46442850554983
346,2021-12-12,4084.811279296875,4173.60888671875,3993.055908203125,4134.453125,4134.453125,-1.2006871090871298,-49.641845703125,14057603914,ETH,12,December,-49.641845703125,71.46442850554983
347,2021-12-13,4136.35986328125,4145.955078125,3680.609130859375,3784.226806640625,3784.226806640625,9.305284134204006,352.133056640625,23999841386,ETH,12,December,352.133056640625,71.46442850554983
